district_name,item_name,report_month,required_units,units_distributed,funding_source,programme,beneficiary_count,priority_level,district_code,unit_type,collection_method,last_updated,balance,remarks
Quetta,Hygiene,2025-11-01,,537.0,Local Fund,WASH Program,616,Medium,PK-QUE,kits,Mobile App,2025-11-07,,
Sargodha,Water,2024-07-01,3482.0,3482.0,UNHCR,WASH Program,1148,Low,PK-SAR,liters,Mobile App,2024-07-20,0.0,Reported by district office
Peshawar,Clothing,2024-10-01,2654.0,2824.0,USAID,Winter Aid,2989,Low,PK-PES,pieces,Manual Entry,2024-10-25,-170.0,Partner discrepancy noted
Multan,Clothing,2026-08-01,5487.0,4952.0,UNICEF,Winter Aid,2272,High,PK-MUL,pieces,Mobile App,2026-08-16,535.0,
Hyderabad,Clothing,2025-03-01,4902.0,2263.0,USAID,Winter Aid,2324,Low,PK-HYD,pieces,Mobile App,2025-03-24,2639.0,Reported by district office
Peshawar,Medicine,2024-02-01,281.0,,USAID,Health Support,990,Low,PK-PES,kits,Partner Report,2024-02-16,,Partner discrepancy noted
Hyderabad,Clothing,2026-09-01,4543.0,4827.0,WFP,Winter Aid,2627,Low,PK-HYD,pieces,Manual Entry,2026-09-12,-284.0,Pending review
Peshawar,Clothing,2024-06-01,4556.0,4345.0,UNHCR,Winter Aid,1370,Medium,PK-PES,pieces,Survey,2024-06-12,211.0,Partner discrepancy noted
Faisalabad,Food,2025-07-01,3835.0,2863.0,UNICEF,Nutrition Program,1092,Medium,PK-FAI,kg,Manual Entry,2025-07-05,972.0,Reported by district office
Sargodha,Clothing,2024-08-01,2843.0,3004.0,WFP,Winter Aid,1910,Medium,PK-SAR,pieces,Partner Report,2024-08-02,-161.0,Partner discrepancy noted
Quetta,Shelter,2025-01-01,4418.0,3479.0,UNHCR,Shelter Support,1075,High,PK-QUE,units,Mobile App,2025-01-04,939.0,Pending review
Hyderabad,Food,2024-06-01,3729.0,,USAID,Nutrition Program,1579,Medium,PK-HYD,kg,Survey,2024-06-22,,Partner discrepancy noted
Faisalabad,Water,2025-07-01,2048.0,2048.0,USAID,WASH Program,2815,Medium,PK-FAI,liters,Manual Entry,2025-07-08,0.0,Reported by district office
Peshawar,Hygiene,2024-02-01,4027.0,3354.0,Red Crescent,WASH Program,2739,Medium,PK-PES,kits,Survey,2024-02-14,673.0,
Peshawar,Clothing,2026-09-01,4589.0,3598.0,WFP,Winter Aid,1093,Low,PK-PES,pieces,Manual Entry,2026-09-15,991.0,Partner discrepancy noted
Bahawalpur,Food,2025-12-01,4245.0,3319.0,UNHCR,Nutrition Program,2658,Low,PK-BAH,kg,Survey,2025-12-16,926.0,Pending review
Faisalabad,Medicine,2024-01-01,4546.0,5025.0,Red Crescent,Health Support,1595,Low,PK-FAI,kits,Survey,2024-01-04,-479.0,
Karachi,Medicine,2025-09-01,,277.0,Local Fund,Health Support,1315,Medium,PK-KAR,kits,Manual Entry,2025-09-02,,Partner discrepancy noted
Bahawalpur,Shelter,2024-06-01,2094.0,2094.0,UNICEF,Shelter Support,87,Low,PK-BAH,units,Manual Entry,2024-06-20,0.0,Pending review
Hyderabad,Hygiene,2026-08-01,1695.0,1527.0,Red Crescent,WASH Program,2532,Low,PK-HYD,kits,Manual Entry,2026-08-24,168.0,Partner discrepancy noted
Faisalabad,Food,2026-06-01,3291.0,3219.0,UNHCR,Nutrition Program,141,Medium,PK-FAI,kg,Partner Report,2026-06-05,72.0,Reported by district office
Hyderabad,Food,2025-09-01,2831.0,2316.0,Local Fund,Nutrition Program,1730,Low,PK-HYD,kg,Mobile App,2025-09-04,515.0,Pending review
Hyderabad,Food,2024-09-01,4605.0,4295.0,USAID,Nutrition Program,2762,High,PK-HYD,kg,Manual Entry,2024-09-13,310.0,Partner discrepancy noted
Multan,Food,2024-07-01,4496.0,1625.0,WFP,Nutrition Program,2241,High,PK-MUL,kg,Survey,2024-07-11,2871.0,Partner discrepancy noted
Quetta,Water,2024-12-01,3095.0,3095.0,WFP,WASH Program,1760,Medium,PK-QUE,liters,Survey,2024-12-17,0.0,Pending review
Rawalpindi,Hygiene,2026-09-01,,2416.0,Red Crescent,WASH Program,2171,High,PK-RAW,kits,Survey,2026-09-02,,Reported by district office
Sargodha,Food,2025-05-01,,1613.0,USAID,Nutrition Program,2137,Medium,PK-SAR,kg,Survey,2025-05-09,,
Bahawalpur,Hygiene,2026-07-01,4851.0,4603.0,Private Donor,WASH Program,345,Low,PK-BAH,kits,Survey,2026-07-02,248.0,
Faisalabad,Medicine,2026-08-01,868.0,740.0,WFP,Health Support,1253,High,PK-FAI,kits,Mobile App,2026-08-11,128.0,
Multan,Clothing,2024-11-01,1175.0,886.0,Local Fund,Winter Aid,2705,High,PK-MUL,pieces,Mobile App,2024-11-16,289.0,Partner discrepancy noted
Karachi,Shelter,2026-05-01,3424.0,1682.0,Red Crescent,Shelter Support,669,Medium,PK-KAR,units,Partner Report,2026-05-05,1742.0,Pending review
Faisalabad,Shelter,2024-01-01,346.0,256.0,UNHCR,Shelter Support,545,Low,PK-FAI,units,Partner Report,2024-01-01,90.0,Field verified
Rawalpindi,Clothing,2025-10-01,459.0,343.0,UNHCR,Winter Aid,1561,High,PK-RAW,pieces,Manual Entry,2025-10-24,116.0,Reported by district office
Hyderabad,Water,2026-09-01,1718.0,1363.0,UNICEF,WASH Program,1884,High,PK-HYD,liters,Survey,2026-09-17,355.0,
Sialkot,Hygiene,2024-10-01,4941.0,2108.0,WFP,WASH Program,2513,High,PK-SIA,kits,Survey,2024-10-24,2833.0,Field verified
Faisalabad,Hygiene,2026-04-01,3510.0,3486.0,WFP,WASH Program,2617,Medium,PK-FAI,kits,Survey,2026-04-21,24.0,Pending review
Gujranwala,Shelter,2024-04-01,4895.0,3907.0,Red Crescent,Shelter Support,2957,Medium,PK-GUJ,units,Survey,2024-04-04,988.0,Partner discrepancy noted
Karachi,Water,2025-11-01,1589.0,1135.0,USAID,WASH Program,1342,Low,PK-KAR,liters,Manual Entry,2025-11-24,454.0,Pending review
Sargodha,Shelter,2026-03-01,2896.0,2494.0,WFP,Shelter Support,308,Medium,PK-SAR,units,Mobile App,2026-03-09,402.0,Reported by district office
Lahore,Water,2025-09-01,1617.0,,Private Donor,WASH Program,1894,Low,PK-LAH,liters,Survey,2025-09-25,,
Rawalpindi,Clothing,2024-11-01,,1027.0,Red Crescent,Winter Aid,621,Low,PK-RAW,pieces,Mobile App,2024-11-09,,Reported by district office
Gujranwala,Clothing,2024-02-01,,706.0,Private Donor,Winter Aid,161,Medium,PK-GUJ,pieces,Mobile App,2024-02-11,,Partner discrepancy noted
Sargodha,Water,2025-01-01,2332.0,,Local Fund,WASH Program,451,High,PK-SAR,liters,Survey,2025-01-13,,Pending review
Peshawar,Shelter,2024-03-01,2246.0,1728.0,Local Fund,Shelter Support,1035,Medium,PK-PES,units,Survey,2024-03-07,518.0,Reported by district office
Multan,Water,2025-01-01,5263.0,5634.0,Private Donor,WASH Program,907,Medium,PK-MUL,liters,Manual Entry,2025-01-19,-371.0,Partner discrepancy noted
Rawalpindi,Clothing,2024-10-01,,2301.0,UNHCR,Winter Aid,928,Medium,PK-RAW,pieces,Partner Report,2024-10-03,,Reported by district office
Multan,Clothing,2025-06-01,2136.0,1083.0,Red Crescent,Winter Aid,984,Low,PK-MUL,pieces,Mobile App,2025-06-20,1053.0,Partner discrepancy noted
Rawalpindi,Shelter,2025-11-01,1482.0,777.0,Red Crescent,Shelter Support,2455,Low,PK-RAW,units,Survey,2025-11-22,705.0,Field verified
Peshawar,Food,2026-01-01,829.0,807.0,Red Crescent,Nutrition Program,150,Medium,PK-PES,kg,Mobile App,2026-01-02,22.0,Pending review
Rawalpindi,Hygiene,2024-09-01,2748.0,2248.0,UNICEF,WASH Program,1135,Low,PK-RAW,kits,Mobile App,2024-09-25,500.0,Field verified
Peshawar,Food,2024-03-01,,1169.0,USAID,Nutrition Program,1104,High,PK-PES,kg,Manual Entry,2024-03-22,,
Peshawar,Medicine,2025-03-01,136.0,136.0,UNICEF,Health Support,2745,High,PK-PES,kits,Partner Report,2025-03-20,0.0,
Rawalpindi,Water,2025-07-01,277.0,224.0,UNHCR,WASH Program,1332,Medium,PK-RAW,liters,Survey,2025-07-19,53.0,Reported by district office
Multan,Water,2025-08-01,4414.0,1663.0,WFP,WASH Program,1802,Low,PK-MUL,liters,Partner Report,2025-08-08,2751.0,Reported by district office
Sialkot,Shelter,2025-02-01,3519.0,3167.0,Red Crescent,Shelter Support,1159,High,PK-SIA,units,Survey,2025-02-05,352.0,Reported by district office
Hyderabad,Food,2024-02-01,4087.0,4087.0,UNHCR,Nutrition Program,1123,Low,PK-HYD,kg,Partner Report,2024-02-06,0.0,Field verified
Sialkot,Clothing,2025-11-01,2951.0,2763.0,USAID,Winter Aid,2511,High,PK-SIA,pieces,Survey,2025-11-18,188.0,Reported by district office
Rawalpindi,Water,2024-04-01,4153.0,1964.0,Private Donor,WASH Program,1192,High,PK-RAW,liters,Manual Entry,2024-04-07,2189.0,Reported by district office
Faisalabad,Hygiene,2025-01-01,5184.0,,USAID,WASH Program,678,Low,PK-FAI,kits,Mobile App,2025-01-15,,Reported by district office
Quetta,Clothing,2024-06-01,582.0,,Local Fund,Winter Aid,2588,Low,PK-QUE,pieces,Manual Entry,2024-06-01,,Partner discrepancy noted
Rawalpindi,Hygiene,2024-06-01,1735.0,,USAID,WASH Program,555,Medium,PK-RAW,kits,Mobile App,2024-06-13,,Reported by district office
Karachi,Medicine,2025-09-01,,277.0,Local Fund,Health Support,1315,Medium,PK-KAR,kits,Manual Entry,2025-09-02,,Partner discrepancy noted
Karachi,Water,2026-05-01,,141.0,Private Donor,WASH Program,2541,Low,PK-KAR,liters,Manual Entry,2026-05-04,,
Sialkot,Medicine,2026-12-01,3067.0,2480.0,Private Donor,Health Support,1728,High,PK-SIA,kits,Mobile App,2026-12-04,587.0,
Hyderabad,Water,2024-04-01,725.0,785.0,UNHCR,WASH Program,1163,Medium,PK-HYD,liters,Manual Entry,2024-04-06,-60.0,Field verified
Gujranwala,Medicine,2026-01-01,924.0,861.0,Private Donor,Health Support,571,Medium,PK-GUJ,kits,Manual Entry,2026-01-10,63.0,Field verified
Quetta,Hygiene,2025-05-01,1746.0,1369.0,Private Donor,WASH Program,1804,Low,PK-QUE,kits,Partner Report,2025-05-15,377.0,Reported by district office
Multan,Water,2026-01-01,4775.0,3401.0,UNHCR,WASH Program,2142,High,PK-MUL,liters,Partner Report,2026-01-07,1374.0,Reported by district office
Gujranwala,Hygiene,2025-09-01,2836.0,1138.0,Red Crescent,WASH Program,538,High,PK-GUJ,kits,Mobile App,2025-09-03,1698.0,Partner discrepancy noted
Faisalabad,Shelter,2024-01-01,3840.0,3380.0,Red Crescent,Shelter Support,1224,Low,PK-FAI,units,Mobile App,2024-01-04,460.0,Field verified
Karachi,Water,2026-02-01,869.0,782.0,WFP,WASH Program,2023,Medium,PK-KAR,liters,Partner Report,2026-02-14,87.0,Pending review
Peshawar,Medicine,2025-06-01,,1146.0,Red Crescent,Health Support,1301,Low,PK-PES,kits,Survey,2025-06-02,,
Faisalabad,Medicine,2025-11-01,1070.0,794.0,Local Fund,Health Support,933,High,PK-FAI,kits,Mobile App,2025-11-18,276.0,Field verified
Sargodha,Shelter,2026-07-01,3159.0,2441.0,UNICEF,Shelter Support,1974,High,PK-SAR,units,Survey,2026-07-13,718.0,Partner discrepancy noted
Multan,Water,2024-08-01,2677.0,834.0,Private Donor,WASH Program,364,High,PK-MUL,liters,Partner Report,2024-08-11,1843.0,Field verified
Rawalpindi,Hygiene,2024-11-01,4204.0,4442.0,Local Fund,WASH Program,1976,Low,PK-RAW,kits,Survey,2024-11-11,-238.0,Reported by district office
Sialkot,Medicine,2026-02-01,1164.0,885.0,WFP,Health Support,2341,High,PK-SIA,kits,Mobile App,2026-02-13,279.0,
Quetta,Hygiene,2026-01-01,2156.0,2315.0,Local Fund,WASH Program,850,High,PK-QUE,kits,Partner Report,2026-01-22,-159.0,
Sialkot,Water,2024-12-01,1132.0,583.0,USAID,WASH Program,2035,Medium,PK-SIA,liters,Mobile App,2024-12-19,549.0,Field verified
Rawalpindi,Hygiene,2024-02-01,2562.0,1854.0,WFP,WASH Program,2468,Low,PK-RAW,kits,Survey,2024-02-25,708.0,Pending review
Quetta,Water,2024-05-01,5163.0,4712.0,USAID,WASH Program,2124,Medium,PK-QUE,liters,Mobile App,2024-05-16,451.0,Partner discrepancy noted
Rawalpindi,Medicine,2024-03-01,,1661.0,USAID,Health Support,1650,Medium,PK-RAW,kits,Survey,2024-03-06,,Reported by district office
Sargodha,Food,2024-05-01,3698.0,3417.0,WFP,Nutrition Program,1800,Low,PK-SAR,kg,Survey,2024-05-13,281.0,
Rawalpindi,Hygiene,2026-12-01,152.0,65.0,Private Donor,WASH Program,1098,Medium,PK-RAW,kits,Partner Report,2026-12-01,87.0,Partner discrepancy noted
Bahawalpur,Clothing,2024-08-01,220.0,214.0,Red Crescent,Winter Aid,423,Low,PK-BAH,pieces,Manual Entry,2024-08-12,6.0,Pending review
Rawalpindi,Clothing,2024-12-01,2929.0,2292.0,UNICEF,Winter Aid,148,Low,PK-RAW,pieces,Mobile App,2024-12-25,637.0,Field verified
Sargodha,Food,2026-03-01,3533.0,3813.0,UNHCR,Nutrition Program,1094,Low,PK-SAR,kg,Survey,2026-03-16,-280.0,Pending review
Gujranwala,Food,2024-08-01,2255.0,1975.0,Red Crescent,Nutrition Program,1229,Medium,PK-GUJ,kg,Survey,2024-08-12,280.0,Partner discrepancy noted
Gujranwala,Hygiene,2025-02-01,5095.0,5095.0,USAID,WASH Program,2804,Low,PK-GUJ,kits,Survey,2025-02-25,0.0,Pending review
Sialkot,Clothing,2025-06-01,3884.0,3187.0,UNHCR,Winter Aid,1822,Low,PK-SIA,pieces,Partner Report,2025-06-07,697.0,
Bahawalpur,Shelter,2024-10-01,3599.0,3505.0,UNHCR,Shelter Support,1078,Medium,PK-BAH,units,Mobile App,2024-10-06,94.0,
Peshawar,Food,2024-10-01,971.0,437.0,Local Fund,Nutrition Program,819,High,PK-PES,kg,Manual Entry,2024-10-25,534.0,Pending review
Faisalabad,Hygiene,2025-10-01,3557.0,3296.0,WFP,WASH Program,2910,Medium,PK-FAI,kits,Partner Report,2025-10-10,261.0,
Karachi,Shelter,2026-04-01,2973.0,2517.0,WFP,Shelter Support,1236,Medium,PK-KAR,units,Survey,2026-04-10,456.0,Field verified
Hyderabad,Medicine,2026-02-01,,1158.0,Private Donor,Health Support,2703,Medium,PK-HYD,kits,Survey,2026-02-11,,Partner discrepancy noted
Sargodha,Shelter,2025-08-01,766.0,731.0,UNICEF,Shelter Support,907,Low,PK-SAR,units,Partner Report,2025-08-19,35.0,Partner discrepancy noted
Rawalpindi,Medicine,2025-02-01,3804.0,4319.0,UNHCR,Health Support,550,Low,PK-RAW,kits,Manual Entry,2025-02-10,-515.0,Field verified
Multan,Food,2024-11-01,2693.0,2851.0,Private Donor,Nutrition Program,164,High,PK-MUL,kg,Manual Entry,2024-11-16,-158.0,
Quetta,Shelter,2025-01-01,1678.0,1598.0,USAID,Shelter Support,1776,Low,PK-QUE,units,Manual Entry,2025-01-15,80.0,Pending review
Sargodha,Shelter,2026-02-01,1841.0,1430.0,USAID,Shelter Support,1128,Low,PK-SAR,units,Survey,2026-02-17,411.0,Reported by district office
Quetta,Medicine,2024-03-01,2570.0,2301.0,UNICEF,Health Support,2591,Low,PK-QUE,kits,Mobile App,2024-03-19,269.0,Partner discrepancy noted
Faisalabad,Medicine,2026-10-01,,2224.0,Private Donor,Health Support,2734,Medium,PK-FAI,kits,Mobile App,2026-10-23,,Partner discrepancy noted
Bahawalpur,Medicine,2026-04-01,,2166.0,WFP,Health Support,522,Low,PK-BAH,kits,Survey,2026-04-05,,
Rawalpindi,Water,2024-04-01,4153.0,1964.0,Private Donor,WASH Program,1192,High,PK-RAW,liters,Manual Entry,2024-04-07,2189.0,Reported by district office
Gujranwala,Medicine,2025-02-01,1124.0,1096.0,UNHCR,Health Support,2695,Medium,PK-GUJ,kits,Partner Report,2025-02-21,28.0,Field verified
Hyderabad,Hygiene,2025-10-01,4039.0,3506.0,USAID,WASH Program,1713,Low,PK-HYD,kits,Manual Entry,2025-10-19,533.0,Reported by district office
Sargodha,Clothing,2025-08-01,4591.0,3227.0,Local Fund,Winter Aid,93,Low,PK-SAR,pieces,Survey,2025-08-11,1364.0,Pending review
Lahore,Medicine,2026-09-01,2083.0,2269.0,USAID,Health Support,1381,High,PK-LAH,kits,Survey,2026-09-11,-186.0,Pending review
Faisalabad,Water,2026-06-01,4372.0,4537.0,UNHCR,WASH Program,637,High,PK-FAI,liters,Partner Report,2026-06-20,-165.0,Field verified
Quetta,Hygiene,2026-09-01,4680.0,2162.0,WFP,WASH Program,1180,Medium,PK-QUE,kits,Survey,2026-09-24,2518.0,Reported by district office
Karachi,Water,2025-07-01,,921.0,USAID,WASH Program,309,Low,PK-KAR,liters,Mobile App,2025-07-13,,
Sialkot,Hygiene,2026-03-01,4294.0,4143.0,USAID,WASH Program,1783,Medium,PK-SIA,kits,Survey,2026-03-09,151.0,Field verified
Gujranwala,Hygiene,2025-10-01,2189.0,1981.0,Private Donor,WASH Program,1467,High,PK-GUJ,kits,Mobile App,2025-10-08,208.0,Partner discrepancy noted
Sargodha,Clothing,2025-11-01,5166.0,5166.0,WFP,Winter Aid,307,Medium,PK-SAR,pieces,Partner Report,2025-11-02,0.0,Field verified
Karachi,Food,2024-09-01,3664.0,3648.0,Local Fund,Nutrition Program,678,High,PK-KAR,kg,Mobile App,2024-09-18,16.0,Reported by district office
Karachi,Food,2025-08-01,111.0,104.0,UNICEF,Nutrition Program,1774,Medium,PK-KAR,kg,Mobile App,2025-08-08,7.0,
Sialkot,Water,2026-08-01,3634.0,3631.0,Local Fund,WASH Program,2669,Low,PK-SIA,liters,Manual Entry,2026-08-13,3.0,Field verified
Gujranwala,Clothing,2025-04-01,1346.0,,UNHCR,Winter Aid,2657,High,PK-GUJ,pieces,Mobile App,2025-04-24,,Field verified
Rawalpindi,Clothing,2024-11-01,,1027.0,Red Crescent,Winter Aid,621,Low,PK-RAW,pieces,Mobile App,2024-11-09,,Reported by district office
Gujranwala,Hygiene,2025-05-01,1767.0,1295.0,Red Crescent,WASH Program,871,High,PK-GUJ,kits,Survey,2025-05-06,472.0,Partner discrepancy noted
Gujranwala,Shelter,2026-01-01,,1721.0,Private Donor,Shelter Support,1607,High,PK-GUJ,units,Partner Report,2026-01-01,,Pending review
Faisalabad,Shelter,2024-01-01,346.0,256.0,UNHCR,Shelter Support,545,Low,PK-FAI,units,Partner Report,2024-01-01,90.0,Field verified
Gujranwala,Clothing,2024-11-01,4072.0,,Private Donor,Winter Aid,1688,Low,PK-GUJ,pieces,Manual Entry,2024-11-18,,Reported by district office
Rawalpindi,Medicine,2026-08-01,3570.0,3511.0,USAID,Health Support,1993,Medium,PK-RAW,kits,Partner Report,2026-08-21,59.0,Partner discrepancy noted
Karachi,Medicine,2026-08-01,,2814.0,Local Fund,Health Support,1757,High,PK-KAR,kits,Mobile App,2026-08-14,,Partner discrepancy noted
Multan,Water,2026-12-01,3794.0,3449.0,WFP,WASH Program,755,Low,PK-MUL,liters,Mobile App,2026-12-02,345.0,Field verified
Hyderabad,Shelter,2024-11-01,4682.0,4682.0,UNICEF,Shelter Support,460,Low,PK-HYD,units,Manual Entry,2024-11-05,0.0,Partner discrepancy noted
Sialkot,Medicine,2025-05-01,4060.0,3702.0,Local Fund,Health Support,53,Medium,PK-SIA,kits,Survey,2025-05-13,358.0,Field verified
Sialkot,Clothing,2025-07-01,156.0,114.0,UNHCR,Winter Aid,2117,Medium,PK-SIA,pieces,Partner Report,2025-07-18,42.0,
Karachi,Shelter,2024-05-01,483.0,450.0,UNHCR,Shelter Support,1442,High,PK-KAR,units,Manual Entry,2024-05-04,18.0,Field verified
Faisalabad,Water,2026-07-01,2517.0,2608.0,USAID,WASH Program,1084,High,PK-FAI,liters,Mobile App,2026-07-10,-91.0,
Sialkot,Water,2026-11-01,521.0,405.0,Red Crescent,WASH Program,2278,High,PK-SIA,liters,Partner Report,2026-11-03,116.0,Reported by district office
Faisalabad,Hygiene,2026-12-01,1893.0,2155.0,Local Fund,WASH Program,256,Medium,PK-FAI,kits,Mobile App,2026-12-07,-262.0,Field verified
Peshawar,Hygiene,2024-05-01,266.0,294.0,Red Crescent,WASH Program,1642,Low,PK-PES,kits,Mobile App,2024-05-01,29.0,Reported by district office
Sialkot,Medicine,2024-09-01,1226.0,934.0,USAID,Health Support,1376,Low,PK-SIA,kits,Survey,2024-09-16,292.0,Pending review
Peshawar,Shelter,2025-03-01,3932.0,4157.0,USAID,Shelter Support,277,High,PK-PES,units,Survey,2025-03-24,-225.0,Field verified
Peshawar,Hygiene,2025-12-01,3356.0,2867.0,USAID,WASH Program,1012,Low,PK-PES,kits,Partner Report,2025-12-23,489.0,Partner discrepancy noted
Rawalpindi,Medicine,2025-11-01,2134.0,1498.0,Private Donor,Health Support,436,Medium,PK-RAW,kits,Manual Entry,2025-11-13,636.0,Pending review
Multan,Water,2025-03-01,2180.0,1729.0,USAID,WASH Program,1327,Medium,PK-MUL,liters,Mobile App,2025-03-10,451.0,
Multan,Medicine,2025-01-01,641.0,211.0,UNHCR,Health Support,2031,Medium,PK-MUL,kits,Manual Entry,2025-01-21,430.0,Field verified
Multan,Clothing,2024-11-01,1175.0,886.0,Local Fund,Winter Aid,2705,High,PK-MUL,pieces,Mobile App,2024-11-16,289.0,Partner discrepancy noted
Hyderabad,Water,2024-08-01,5117.0,5372.0,UNICEF,WASH Program,2897,High,PK-HYD,liters,Partner Report,2024-08-16,-255.0,Reported by district office
Sialkot,Water,2024-05-01,757.0,755.0,UNICEF,WASH Program,1036,High,PK-SIA,liters,Partner Report,2024-05-11,2.0,Field verified
Bahawalpur,Medicine,2025-12-01,4287.0,,UNHCR,Health Support,1460,Medium,PK-BAH,kits,Partner Report,2025-12-12,,Field verified
Karachi,Medicine,2024-08-01,643.0,618.0,Private Donor,Health Support,2351,Medium,PK-KAR,kits,Survey,2024-08-10,39.0,Partner discrepancy noted
Multan,Water,2025-01-01,5263.0,5634.0,Private Donor,WASH Program,907,Medium,PK-MUL,liters,Manual Entry,2025-01-19,-371.0,Partner discrepancy noted
Rawalpindi,Hygiene,2024-04-01,4312.0,3634.0,UNICEF,WASH Program,1072,High,PK-RAW,kits,Survey,2024-04-24,678.0,Reported by district office
Hyderabad,Food,2024-10-01,4639.0,4221.0,Private Donor,Nutrition Program,439,Medium,PK-HYD,kg,Partner Report,2024-10-11,418.0,Partner discrepancy noted
Sargodha,Medicine,2026-10-01,675.0,620.0,Private Donor,Health Support,1447,High,PK-SAR,kits,Survey,2026-10-22,55.0,Field verified
Peshawar,Clothing,2024-09-01,2486.0,,UNHCR,Winter Aid,2463,Medium,PK-PES,pieces,Manual Entry,2024-09-18,,Reported by district office
Quetta,Shelter,2025-08-01,4304.0,,USAID,Shelter Support,707,Medium,PK-QUE,units,Mobile App,2025-08-21,,Reported by district office
Sargodha,Water,2025-02-01,3254.0,3029.0,USAID,WASH Program,1856,High,PK-SAR,liters,Partner Report,2025-02-13,225.0,Partner discrepancy noted
Multan,Medicine,2025-11-01,2467.0,2293.0,WFP,Health Support,175,High,PK-MUL,kits,Survey,2025-11-03,174.0,Partner discrepancy noted
Gujranwala,Water,2026-07-01,3544.0,,UNHCR,WASH Program,2295,Low,PK-GUJ,liters,Manual Entry,2026-07-11,,
Sialkot,Clothing,2025-05-01,2104.0,1841.0,Red Crescent,Winter Aid,1120,Low,PK-SIA,pieces,Partner Report,2025-05-22,257.0,Partner discrepancy noted
Multan,Medicine,2025-04-01,5154.0,5830.0,USAID,Health Support,2248,High,PK-MUL,kits,Mobile App,2025-04-23,-676.0,Pending review
Sialkot,Water,2024-02-01,1714.0,1699.0,UNHCR,WASH Program,2914,High,PK-SIA,liters,Partner Report,2024-02-25,15.0,
Peshawar,Food,2024-03-01,3719.0,3232.0,Local Fund,Nutrition Program,2525,Medium,PK-PES,kg,Survey,2024-03-07,487.0,Pending review
Faisalabad,Water,2025-10-01,5165.0,3699.0,Local Fund,WASH Program,1032,Low,PK-FAI,liters,Mobile App,2025-10-13,1466.0,Partner discrepancy noted
Sialkot,Medicine,2024-04-01,2070.0,1691.0,USAID,Health Support,812,Low,PK-SIA,kits,Mobile App,2024-04-25,379.0,Pending review
Lahore,Water,2024-11-01,1404.0,1208.0,WFP,WASH Program,658,Low,PK-LAH,liters,Mobile App,2024-11-10,196.0,Reported by district office
Gujranwala,Clothing,2024-01-01,953.0,781.0,UNICEF,Winter Aid,1069,Low,PK-GUJ,pieces,Partner Report,2024-01-02,172.0,Partner discrepancy noted
Multan,Water,2025-08-01,4414.0,1663.0,WFP,WASH Program,1802,Low,PK-MUL,liters,Partner Report,2025-08-08,2751.0,Reported by district office
